n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
8,0.390625,0.000000,0.000000,0.000000,0.000000
8,0.406250,0.000000,0.000000,0.000000,0.000000
8,0.421875,0.000000,0.000000,0.000000,0.000000
8,0.437500,0.000000,0.000000,0.000000,0.000000
8,0.453125,0.000000,0.000000,0.000000,0.000000
8,0.468750,0.000000,0.000000,0.000000,0.000000
8,0.484375,0.000000,0.000000,0.000000,0.000000
8,0.500000,0.000000,0.000000,0.000000,0.000000
8,0.515625,0.000000,0.000000,0.000000,0.000000
8,0.531250,0.000000,0.000000,0.000000,0.000000
8,0.546875,0.000000,0.000000,0.000000,0.000000
8,0.562500,0.000000,0.000000,0.000000,0.000000
8,0.578125,0.000000,0.000000,0.000000,0.000000
8,0.593750,0.000000,0.000000,0.000000,0.000000
8,0.609375,0.000000,0.000000,0.000000,0.000000
8,0.625000,0.000000,0.000000,0.000000,0.000000
8,0.640625,0.000000,0.000000,0.000000,0.000000
8,0.656250,0.000000,0.000000,0.000000,0.000000
8,0.671875,0.000000,0.000000,0.000000,0.000000
8,0.687500,0.000000,0.000000,0.000000,0.000000
8,0.703125,0.000000,0.000000,0.000000,0.000000
8,0.718750,0.000000,0.000000,0.000000,0.000000
8,0.734375,0.000000,0.000000,0.000000,0.000000
8,0.750000,0.000000,0.000000,0.000000,0.000000
8,0.765625,0.000000,0.000000,0.000000,0.000000
8,0.781250,0.000000,0.000000,0.000000,0.000000
8,0.796875,0.000000,0.000000,0.000000,0.000000
8,0.812500,0.000000,0.000000,0.000000,0.000000
8,0.828125,0.000000,0.000000,0.000000,0.000000
8,0.843750,0.000000,0.000000,0.000000,0.000000
8,0.859375,0.000000,0.000000,0.000000,0.000000
8,0.875000,0.000000,0.000000,0.000000,0.000000
8,0.890625,0.000000,0.000000,0.000000,0.000000
8,0.906250,0.000000,0.000000,0.000000,0.000000
8,0.921875,0.000000,0.000000,0.000000,0.000000
8,0.937500,0.000000,0.000000,0.000000,0.000000
8,0.953125,0.000000,0.000000,0.000000,0.000000
8,0.968750,0.000000,0.000000,0.000000,0.000000
8,0.984375,0.000000,0.000000,0.000000,0.000000
8,1.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,12870.000000,2.000000,12870.000000,2.000000
9,0.012346,11131.900000,1.500000,11131.900000,1.500000
9,0.024691,8089.700000,2.100000,8089.700000,2.100000
9,0.037037,6293.700000,1.800000,6293.700000,1.800000
9,0.049383,4039.200000,1.600000,4039.200000,1.600000
9,0.061728,4398.285714,2.285714,4398.285714,2.285714
9,0.074074,3371.125000,1.250000,3371.125000,1.250000
9,0.086420,2456.875000,2.875000,2456.875000,2.875000
9,0.098765,1879.125000,3.250000,1879.125000,3.250000
9,0.111111,1930.285714,2.857143,1930.285714,2.857143
9,0.123457,1299.000000,3.428571,1299.000000,3.428571
9,0.135802,1115.500000,2.900000,1115.500000,2.900000
9,0.148148,744.000000,1.428571,744.000000,1.428571
9,0.160494,571.428571,1.714286,571.428571,1.714286
9,0.172840,203.750000,2.750000,203.750000,2.750000
9,0.185185,876.833333,2.166667,876.833333,2.166667
9,0.197531,382.750000,1.250000,382.750000,1.250000
9,0.209877,300.000000,3.000000,300.000000,3.000000
9,0.222222,213.750000,1.500000,213.750000,1.500000
9,0.234568,53.000000,1.000000,53.000000,1.000000
